Wall time,Step,Value
1604175793.2710078,9472,-6.705522537231445e-08
1604175794.0921314,16128,-5.587935447692871e-08
1604175796.1059098,25472,3.073364496231079e-08
1604175797.4504318,33408,-2.4959444999694824e-07
1604175797.4784377,34048,1.341104507446289e-07
1604175798.1350877,39040,-1.2293457984924316e-07
1604175798.7974446,43520,4.0978193283081055e-08
1604175798.8084476,43776,-1.7508864402770996e-07
1604175798.8524575,44800,-3.725290298461914e-09
1604175802.115208,64768,-5.774199962615967e-08
1604175803.3340845,72704,-7.450580596923828e-09
1604175804.4700193,78208,-7.729977369308472e-08
1604175804.5070279,79104,-2.7939677238464355e-08
1604175832.0682826,85248,-6.146728992462158e-08
1604175832.614487,86912,3.129243850708008e-07
1604175833.9718447,95488,8.381903171539307e-08
1604175834.0158546,96512,5.587935447692871e-08
1604175835.964636,107520,-8.475035429000854e-08
1604175836.5943692,111104,2.2724270820617676e-07
1604175839.891697,133888,-7.078051567077637e-08
1604175841.1442606,140544,2.1606683731079102e-07
1604175841.848699,145408,2.9709190130233765e-07
1604175843.229669,155136,9.499490261077881e-08
1604175871.7387042,165504,1.1175870895385742e-08
1604175872.97371,172544,4.470348358154297e-08
1604175872.9887135,172928,1.043081283569336e-07
1604175873.0647304,174720,-8.381903171539307e-08
1604175873.0867357,175232,5.21540641784668e-08
1604175874.3235717,181376,1.1408701539039612e-07
1604175874.3605795,182272,-7.636845111846924e-08
1604175875.0689738,187904,1.955777406692505e-07
1604175877.6093392,202752,3.166496753692627e-08
1604175880.1919074,220544,-1.4901161193847656e-08
1604175881.3146675,226048,-7.12461769580841e-08
1604175881.3306706,226432,6.239861249923706e-08
1604175883.2637293,240128,2.1420419216156006e-08
1604175909.584128,244352,-1.471489667892456e-07
1604175910.2270486,249472,-1.1920928955078125e-07
1604175912.639352,264704,-2.421438694000244e-08
1604175913.8319843,272384,-7.450580596923828e-09
1604175915.7215343,285568,1.2083910405635834e-07
1604175916.923794,293632,7.82310962677002e-08
1604175918.0717835,299392,2.0489096641540527e-08
1604175919.398656,309888,-9.313225746154785e-10
1604175920.5546641,315904,5.4016709327697754e-08
1604175921.2888176,322176,1.210719347000122e-07
1604175921.293819,322304,-1.471489667892456e-07
1604175948.474411,323840,-8.009374141693115e-08
1604175949.1290078,328192,8.242204785346985e-08
1604175951.8379123,347776,3.213062882423401e-08
1604175953.0683866,354816,-1.862645149230957e-09
1604175957.49097,383872,5.4016709327697754e-08
1604175958.8105018,392960,-1.2014061212539673e-07
1604175987.615427,408704,-3.166496753692627e-08
1604175988.8933744,417536,1.1082738637924194e-07
1604175989.445636,419584,-1.9371509552001953e-07
1604175989.4516382,419712,-1.955777406692505e-07
1604175990.686181,427136,9.313225746154785e-09
1604175997.0520973,467200,1.1175870895385742e-08
1604175997.062099,467456,-3.4924596548080444e-08
1604175997.7876368,473856,4.0978193283081055e-08
1604175999.0669663,482944,2.60770320892334e-08
1604176026.704878,492288,-1.1175870895385742e-07
1604176026.7408867,493184,1.862645149230957e-08
1604176028.6852548,506880,-7.450580596923828e-08
1604176029.2887588,510464,-2.0489096641540527e-08
1604176031.099244,520704,5.21540641784668e-08
1604176032.3512802,528640,-9.313225746154785e-09
1604176034.266703,541184,4.842877388000488e-08
1604176034.908855,545792,6.891787052154541e-08
1604176036.2939148,556672,-5.774199962615967e-08
1604176063.7319324,567296,1.0617077350616455e-07
1604176065.6225703,579072,4.6566128730773926e-08
1604176065.7086492,581248,4.0978193283081055e-08
1604176068.8783793,601600,-4.0978193283081055e-08
1604176069.3955033,602624,2.9802322387695312e-08
1604176071.3778067,616960,6.891787052154541e-08
1604176071.9209268,618752,-8.381903171539307e-09
1604176075.1496775,640384,1.7695128917694092e-08
1604176104.0168338,657664,1.6763806343078613e-08
1604176104.6386874,661248,-6.007030606269836e-08
1604176108.9630384,688256,-2.6542693376541138e-08
1604176109.037055,690048,4.6566128730773926e-08
1604176112.8820684,714368,3.725290298461914e-08
1604176141.7643101,731008,-4.842877388000488e-08
1604176142.4734578,736640,3.725290298461914e-09
1604176144.373525,747520,2.2351741790771484e-08
1604176145.6336043,754688,1.862645149230957e-08
1604176145.6706123,755584,-3.5390257835388184e-08
1604176146.3300104,760192,-3.3527612686157227e-08
1604176148.1636758,770816,-1.862645149230957e-08
1604176152.060693,797696,6.705522537231445e-08
1604176152.6175132,800128,-5.587935447692871e-09
1604176180.0628903,809088,5.029141902923584e-08
1604176181.9217327,820224,2.2351741790771484e-08
1604176185.8772888,845568,-3.725290298461914e-08
1604176186.5781276,849280,5.4016709327697754e-08
1604176188.6981144,861568,-2.9802322387695312e-08
1604176188.7671304,863104,-1.0244548320770264e-08
1604176220.0046875,881408,9.313225746154785e-09
1604176222.0390341,895744,4.6566128730773926e-08
1604176225.615202,914688,3.725290298461914e-09
1604176226.3483675,919936,2.60770320892334e-08
1604176230.9457033,948992,-4.470348358154297e-08
1604176232.8938575,958976,9.313225746154785e-09
1604176232.9098604,959360,-9.313225746154785e-09
1604176232.9898784,961280,-3.725290298461914e-09
1604176264.4323177,965504,5.587935447692871e-08
1604176270.4317932,1000960,-1.30385160446167e-08
1604176270.4858053,1002240,3.725290298461914e-09
1604176271.1531525,1006720,-7.450580596923828e-09
1604176274.3979323,1026944,-1.4901161193847656e-08
1604176276.2212636,1036544,0.0
1604176311.583974,1051136,5.774199962615967e-08
1604176312.267342,1056384,-3.725290298461914e-09
1604176315.3545437,1074560,-1.6298145055770874e-08
1604176315.3825512,1075200,-3.166496753692627e-08
1604176315.432562,1076352,-2.60770320892334e-08
1604176317.943792,1091840,-1.5832483768463135e-08
1604176317.9958043,1093120,-1.862645149230957e-09
1604176319.8887994,1105024,1.1175870895385742e-08
1604176360.723597,1140480,-6.51925802230835e-09
1604176362.0146887,1146880,2.421438694000244e-08
1604176362.0537086,1147776,1.4901161193847656e-08
1604176363.3377097,1155200,-1.30385160446167e-08
1604176368.4001656,1189376,-7.450580596923828e-09
1604176406.5527785,1216000,-6.51925802230835e-09
1604176408.417099,1227008,1.862645149230957e-08
1604176408.4841878,1228672,3.725290298461914e-09
1604176410.9100578,1243136,-1.6763806343078613e-08
1604176411.4604278,1245440,9.313225746154785e-10
1604176414.1941974,1264000,-7.450580596923828e-09
1604176415.4775238,1272192,7.450580596923828e-09
1604176457.9312077,1319424,1.7695128917694092e-08
1604176457.9671519,1320320,3.725290298461914e-08
1604176459.9751675,1335168,-7.450580596923828e-09
1604176461.7617068,1345408,-1.862645149230957e-08
1604176462.4413388,1350912,-1.0710209608078003e-08
1604176464.2563934,1361792,5.587935447692871e-09
1604176502.4757142,1367808,0.0
1604176505.2611165,1380992,-1.6763806343078613e-08
1604176505.2671177,1381120,4.6566128730773926e-09
1604176505.4101493,1383936,1.862645149230957e-09
1604176507.3407884,1392896,-1.4901161193847656e-08
1604176508.1420252,1399552,-9.313225746154785e-09
1604176508.1590292,1399936,2.2351741790771484e-08
1604176508.8881936,1404800,2.6542693376541138e-08
1604176509.5378275,1407744,4.6566128730773926e-09
1604176509.581838,1408768,1.0244548320770264e-08
1604176510.7728097,1414656,1.862645149230957e-09
1604176512.1786084,1425152,-3.5390257835388184e-08
1604176512.7421281,1427584,1.1175870895385742e-08
1604176561.6272957,1465728,1.1175870895385742e-08
1604176562.8662546,1472512,1.862645149230957e-09
1604176563.4437516,1475072,-3.725290298461914e-09
1604176564.0902138,1479040,-1.1175870895385742e-08
1604176564.140225,1480192,3.3527612686157227e-08
1604176564.7916644,1484544,-1.4901161193847656e-08
1604176567.5167103,1499776,-4.889443516731262e-08
1604176568.9600358,1509248,1.862645149230957e-08
1604176614.1396208,1536128,-2.7939677238464355e-08
